2019 Authorized Budget,,,,,March ,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,January,,,,February,,,,March,,,,April,,,,May ,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
1848,WATER ONE CALL COORD, 	1.00 ,WATER," 	61,151 ",1488,WATER ONE CALL COORD, 	1.00 ," 	57,270 ",1488,WATER ONE CALL COORD,1.00," 	57,270 ",1488,WATER ONE CALL COORD,1.00," 	57,270 ",1488,WATER ONE CALL COORD,1," 	57,270 ",1488,WATER ONE CALL COORD,1," 	58,415 ",1488,WATER ONE CALL COORD,1," 	58,415 ",1488,WATER ONE CALL COORD,1," 	58,415 ",1488,WATER ONE CALL COORD,1," 	58,415 ",1488,WATER ONE CALL COORD,1," 	58,415 ",1488,WATER ONE CALL COORD,1," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	58,999 ",1488,WATER ONE CALL COORD,1," 	58,999 ",1488,WATER ONE CALL COORD,1," 	58,999 ",1488,WATER ONE CALL COORD,1," 	58,999 ",1488,WATER ONE CALL COORD, 	1.00 ," 	60,917 ",1488,WATER ONE CALL COORD-16, 	1.00 ," 	60,917 ",1488,WATER ONE CALL COORD-16, 	1.00 ," 	60,917 "
1849,WATER UTIL OPR LDWKR, 	1.00 ,WATER," 	71,962 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	66,375 ",1812,WATER UTIL OPR LDWKR,1.00," 	66,984 ",1812,WATER UTIL OPR LDWKR,1.00," 	66,984 ",1812,WATER UTIL OPR LDWKR,1," 	66,984 ",1812,WATER UTIL OPR LDWKR,1," 	68,323 ",1812,WATER UTIL OPR LDWKR,1," 	68,323 ",1812,WATER UTIL OPR LDWKR,1," 	68,323 ",1812,WATER UTIL OPR LDWKR,1," 	68,323 ",1812,WATER UTIL OPR LDWKR,1," 	68,323 ",1812,WATER UTIL OPR LDWKR,1," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	69,007 ",1812,WATER UTIL OPR LDWKR,1," 	69,007 ",1812,WATER UTIL OPR LDWKR,1," 	69,007 ",1812,WATER UTIL OPR LDWKR,1," 	69,007 ",1812,WATER UTIL OPR LDWKR, 	1.00 ," 	71,249 ",1812,WATER UTIL OPR LDWKR-16, 	1.00 ," 	71,249 ",1812,WATER UTIL OPR LDWKR-16, 	1.00 ," 	71,249 "
1850,WATER QUAL SAMPLER 3, 	1.00 ,WATER," 	60,985 ",3752,WATER QUALITY AIDE, 	1.00 ," 	51,302 ",3752,WATER QUALITY AIDE,1.00," 	51,302 ",3752,WATER QUAL SAMPLER 3,1.00," 	51,302 ",3752,WATER QUAL SAMPLER 3,1," 	54,107 ",3752,WATER QUAL SAMPLER 3,1," 	55,189 ",3752,WATER QUAL SAMPLER 3,1," 	55,189 ",3752,WATER QUAL SAMPLER 3,1," 	55,189 ",3752,WATER QUAL SAMPLER 3,1," 	55,189 ",3752,WATER QUAL SAMPLER 3,1," 	55,189 ",3752,WATER QUAL SAMPLER 3,1," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	57,329 ",3752,WATER QUAL SAMPLER 3,1," 	57,329 ",3752,WATER QUAL SAMPLER 3,1," 	57,329 ",3752,WATER QUAL SAMPLER 3,1," 	57,329 ",3752,WATER QUAL SAMPLER 3, 	1.00 ," 	60,536 ",3752,WATER QUALITY SAMPLER 3-16, 	1.00 ," 	60,536 ",3752,WATER QUALITY SAMPLER 3-16, 	1.00 ," 	60,536 "
1851,PRINCIPAL ENGR WATER, 	1.00 ,WATER," 	121,841 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	113,070 ",4045,PRINCIPAL ENGR WATER,1.00," 	113,070 ",4045,PRINCIPAL ENGR WATER,1.00," 	113,070 ",4045,PRINCIPAL ENGR WATER,1," 	113,070 ",4045,PRINCIPAL ENGR WATER,1," 	115,331 ",4045,PRINCIPAL ENGR WATER,1," 	115,331 ",4045,PRINCIPAL ENGR WATER,1," 	115,331 ",4045,PRINCIPAL ENGR WATER,1," 	115,331 ",4045,PRINCIPAL ENGR WATER,1," 	115,331 ",4045,PRINCIPAL ENGR WATER,1," 	116,485 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	116,485 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	117,554 ",4045,PRINCIPAL ENGR WATER,1," 	117,554 ",4045,PRINCIPAL ENGR WATER,1," 	117,554 ",4045,PRINCIPAL ENGR WATER,1," 	117,554 ",4045,PRINCIPAL ENGR WATER, 	1.00 ," 	121,374 ",4045,PRINICPAL ENGR WATER-18, 	1.00 ," 	121,374 ",4045,PRINICPAL ENGR WATER-18, 	1.00 ," 	121,374 "
1852,CROSS CON CTRL INSP, 	1.00 ,WATER," 	75,497 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	70,705 ",2309,CROSS CON CTRL INSP,1.00," 	70,705 ",2309,CROSS CON CTRL INSP,1.00," 	70,705 ",2309,CROSS CON CTRL INSP,1," 	70,705 ",2309,CROSS CON CTRL INSP,1," 	72,119 ",2309,CROSS CON CTRL INSP,1," 	72,119 ",2309,CROSS CON CTRL INSP,1," 	72,119 ",2309,CROSS CON CTRL INSP,1," 	72,119 ",2309,CROSS CON CTRL INSP,1," 	72,119 ",2309,CROSS CON CTRL INSP,1," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	72,840 ",2309,CROSS CON CTRL INSP,1," 	72,840 ",2309,CROSS CON CTRL INSP,1," 	72,840 ",2309,CROSS CON CTRL INSP,1," 	72,840 ",2309,CROSS CON CTRL INSP, 	1.00 ," 	75,207 ",2309,CROSS CONNECT CTRL INSPEC-16, 	1.00 ," 	75,207 ",2309,CROSS CONNECT CTRL INSPEC-16, 	1.00 ," 	75,207 "
1853,FIELD SERV LDWKR 2, 	1.00 ,WATER," 	72,824 ",2958,FIELD SERV LDWKR, 	1.00 ," 	68,202 ",2958,FIELD SERV LDWKR,1.00," 	68,202 ",2958,FIELD SERV LDWKR 2,1.00," 	68,202 ",2958,FIELD SERV LDWKR 2,1," 	68,202 ",2958,FIELD SERV LDWKR 2,1," 	69,566 ",2958,FIELD SERV LDWKR 2,1," 	69,566 ",2958,FIELD SERV LDWKR 2,1," 	69,566 ",2958,FIELD SERV LDWKR 2,1," 	69,566 ",2958,FIELD SERV LDWKR 2,1," 	69,566 ",2958,FIELD SERV LDWKR 2,1," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	70,261 ",2958,FIELD SERV LDWKR 2,1," 	70,261 ",2958,FIELD SERV LDWKR 2,1," 	70,261 ",2958,FIELD SERV LDWKR 2,1," 	70,261 ",2958,FIELD SERV LDWKR 2, 	1.00 ," 	72,545 ",2958,FIELD SERVICE LDWKR 2-16, 	1.00 ," 	72,545 ",VACANT,VACANT,VACANT,VACANT
1854,ENGINEER 4, 	1.00 ,WATER," 	97,427 ",VACANT,, 	-   , 	-   ,2366,ENGINEER 4,1.00," 	91,243 ",2366,ENGINEER 4,1.00," 	91,243 ",2366,ENGINEER 4,1," 	91,243 ",2366,ENGINEER 4,1," 	93,068 ",2366,ENGINEER 4,1," 	93,068 ",2366,ENGINEER 4,1," 	93,068 ",2366,ENGINEER 4,1," 	93,068 ",2366,ENGINEER 4,1," 	93,068 ",2366,ENGINEER 4,1," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	93,999 ",2366,ENGINEER 4,1," 	93,999 ",2366,ENGINEER 4,1," 	93,999 ",2366,ENGINEER 4,1," 	93,999 ",2366,ENGINEER 4, 	1.00 ," 	97,054 ",2366,ENGINEER 4-18, 	1.00 ," 	97,054 ",2366,ENGINEER 4-18, 	1.00 ," 	97,054 "
1855,FIELD SERV REP 2, 	1.00 ,WATER," 	51,367 ",5001,FIELD SERV REP 2, 	1.00 ," 	52,531 ",5001,FIELD SERV REP 2,1.00," 	52,531 ",5001,FIELD SERV REP 2,1.00," 	52,531 ",5001,FIELD SERV REP 2,1," 	52,531 ",5001,FIELD SERV REP 2,1," 	53,582 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,5901,FIELD SERV REP 1-16,1," 	46,722 ",5901,FIELD SERV REP 1-16,1," 	46,722 ",5901,FIELD SERV REP 1-16,1," 	47,189 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	47,189 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	47,189 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	47,189 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	47,189 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	48,350 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	48,350 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	48,350 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	48,350 ",5901,FIELD SERV REP 1-16,1," 	48,350 ",5901,FIELD SERV REP 1-16,1," 	48,350 ",5901,FIELD SERV REP 1-16,1," 	48,350 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	49,921 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	49,921 ",5901,FIELD SERV REP 1-16, 	1.00 ," 	49,921 "
1856,ADMIN CLK 2, 	1.00 ,WATER," 	56,486 ",2337,ACCT CLERK 3-20, 	1.00 ," 	52,508 ",2337,ACCT CLERK 3-20,1.00," 	52,508 ",2337,ACCT CLERK 3-20,1.00," 	52,508 ",2337,ACCT CLERK 3-20,1," 	52,508 ",2337,ACCT CLERK 3-20,1," 	53,558 ",2337,ACCT CLERK 3-20,1," 	53,558 ",2337,ACCT CLERK 3-20,1," 	53,558 ",2337,ACCT CLERK 3-20,1," 	53,558 ",2337,ACCT CLERK 3-20,1," 	53,558 ",2337,ACCT CLERK 3-20,1," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	54,094 ",2337,ACCT CLERK 3-20,1," 	54,094 ",2337,ACCT CLERK 3-20,1," 	54,094 ",2337,ACCT CLERK 3-20,1," 	54,094 ",2337,ACCT CLERK 3-20, 	1.00 ," 	55,852 ",2337,ACCT CLERK 3-20, 	1.00 ," 	55,852 ",2337,ACCT CLERK 3-20, 	1.00 ," 	55,852 "
1857,OPERATIONS CLERK, 	1.00 ,WATER," 	59,457 ",3886,OPERATIONS CLERK, 	1.00 ," 	55,683 ",3886,OPERATIONS CLERK,1.00," 	55,683 ",3886,OPERATIONS CLERK,1.00," 	55,683 ",3886,OPERATIONS CLERK,1," 	55,683 ",3886,OPERATIONS CLERK,1," 	56,796 ",3886,OPERATIONS CLERK,1," 	56,796 ",3886,OPERATIONS CLERK,1," 	56,796 ",3886,OPERATIONS CLERK,1," 	56,796 ",3886,OPERATIONS CLERK,1," 	56,796 ",3886,OPERATIONS CLERK,1," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	57,365 ",3886,OPERATIONS CLERK,1," 	57,365 ",3886,OPERATIONS CLERK,1," 	57,365 ",3886,OPERATIONS CLERK,1," 	57,365 ",3886,OPERATIONS CLERK, 	1.00 ," 	59,229 ",3886,OPERATIONS CLERK-16, 	1.00 ," 	59,229 ",3886,OPERATIONS CLERK-16, 	1.00 ," 	59,229 "
1858,WATER UTIL GEN MGR, 	1.00 ,WATER," 	150,377 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	142,241 ",1090,WATER UTIL GEN MGR,1.00," 	142,241 ",1090,WATER UTIL GEN MGR,1.00," 	142,241 ",1090,WATER UTIL GEN MGR,1," 	142,241 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR,1," 	145,086 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	145,086 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	146,537 ",1090,WATER UTIL GEN MGR,1," 	151,011 ",1090,WATER UTIL GEN MGR,1," 	151,011 ",1090,WATER UTIL GEN MGR,1," 	151,011 ",1090,WATER UTIL GEN MGR, 	1.00 ," 	151,011 ",1090,WATER UTIL GEN MGR-21, 	1.00 ," 	151,011 ",1090,WATER UTIL GEN MGR-21, 	1.00 ," 	155,919 "
1859,WATER COMM OUTREACH, 	1.00 ,WATER," 	68,007 ",4177,WATER COMM OUTREACH, 	1.00 ," 	61,888 ",4177,WATER COMM OUTREACH,1.00," 	61,888 ",4177,WATER COMM OUTREACH,1.00," 	61,888 ",4177,WATER COMM OUTREACH,1," 	61,888 ",4177,WATER COMM OUTREACH,1," 	63,125 ",4177,WATER COMM OUTREACH,1," 	63,125 ",4177,WATER COMM OUTREACH,1," 	63,125 ",4177,WATER COMM OUTREACH,1," 	63,125 ",4177,WATER COMM OUTREACH,1," 	63,125 ",4177,WATER COMM OUTREACH,1," 	63,756 ",4177,WATER COMM OUTREACH, 	1.00 ," 	63,756 ",4177,WATER COMM OUTREACH, 	1.00 ," 	63,756 ",4177,WATER COMM OUTREACH, 	1.00 ," 	63,756 ",4177,WATER COMM OUTREACH, 	1.00 ," 	63,756 ",4177,WATER COMM OUTREACH, 	1.00 ," 	65,614 ",4177,WATER COMM OUTREACH, 	1.00 ," 	65,614 ",4177,WATER COMM OUTREACH, 	1.00 ," 	65,614 ",4177,WATER COMM OUTREACH, 	1.00 ," 	65,614 ",4177,WATER COMM OUTREACH,1," 	65,614 ",4177,WATER COMM OUTREACH,1," 	65,614 ",4177,WATER COMM OUTREACH,1," 	65,614 ",4177,WATER COMM OUTREACH, 	1.00 ," 	67,746 ",4177,WATER COMM OUTREACH SPEC-18, 	1.00 ," 	67,746 ",4177,WATER COMM OUTREACH SPEC-18, 	1.00 ," 	67,746 "
1861,ENGR PROG SPEC 1, 	1.00 ,WATER," 	72,083 ",6368,ENGR PROG SPEC, 	1.00 ," 	60,894 ",6368,ENGR PROG SPEC,1.00," 	63,129 ",6368,ENGR PROG SPEC 1,1.00," 	63,129 ",6368,ENGR PROG SPEC 1,1," 	63,129 ",6368,ENGR PROG SPEC 1,1," 	64,392 ",6368,ENGR PROG SPEC 1,1," 	64,392 ",6368,ENGR PROG SPEC 1,1," 	64,392 ",6368,ENGR PROG SPEC 1,1," 	64,392 ",6368,ENGR PROG SPEC 1,1," 	64,392 ",6368,ENGR PROG SPEC 1,1," 	65,036 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	65,036 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	65,036 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	65,036 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	65,036 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	67,521 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	67,521 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	67,521 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	67,521 ",6368,ENGR PROG SPEC 1,1," 	67,521 ",6368,ENGR PROG SPEC 1,1," 	69,546 ",6368,ENGR PROG SPEC 1,1," 	69,546 ",6368,ENGR PROG SPEC 1, 	1.00 ," 	71,807 ",6368,ENGR PROG SPEC 1-16, 	1.00 ," 	71,807 ",6368,ENGR PROG SPEC 1-16, 	1.00 ," 	71,807 "
1862,CONSTRUCTION SUP, 	1.00 ,WATER," 	82,315 ",2310,WATER CONSTR SU, 	1.00 ," 	70,199 ",2310,WATER CONSTR SU,1.00," 	70,199 ",2310,WATER CONSTR SU,1.00," 	70,199 ",2310,WATER CONSTR SU,1," 	73,439 ",2310,WATER CONSTR SU,1," 	74,908 ",2310,WATER CONSTR SU,1," 	74,908 ",2310,WATER CONSTR SU,1," 	74,908 ",2310,WATER CONSTR SU,1," 	74,908 ",2310,WATER CONSTR SU,1," 	74,908 ",2310,WATER CONSTR SU,1," 	75,657 ",2310,WATER CONSTR SU, 	1.00 ," 	75,657 ",2310,WATER CONSTR SU, 	1.00 ," 	75,657 ",2310,WATER CONSTR SUPV-18, 	1.00 ," 	75,657 ",2310,WATER CONSTR SUPV-18, 	1.00 ," 	75,657 ",2310,CONSTRUCTION SUP, 	1.00 ," 	75,657 ",2310,CONSTRUCTION SUP, 	1.00 ," 	79,418 ",2310,CONSTRUCTION SUP, 	1.00 ," 	79,418 ",2310,CONSTRUCTION SUP, 	1.00 ," 	79,418 ",2310,CONSTRUCTION SUP,1," 	79,418 ",2310,CONSTRUCTION SUP,1," 	79,418 ",2310,CONSTRUCTION SUP,1," 	79,418 ",2310,CONSTRUCTION SUP, 	1.00 ," 	81,999 ",2310,CONSTRUCTION SUPV-18, 	1.00 ," 	81,999 ",2310,CONSTRUCTION SUPV-18, 	1.00 ," 	81,999 "
1864,ENGR AIDE 1, 	1.00 ,WATER," 	61,151 ",4003,ENGR AIDE 1, 	1.00 ," 	55,649 ",4003,ENGR AIDE 1,1.00," 	55,649 ",4003,ENGR AIDE 1,1.00," 	55,649 ",4003,ENGR AIDE 1,1," 	55,649 ",4003,ENGR AIDE 1,1," 	56,762 ",4003,ENGR AIDE 1,1," 	56,762 ",4003,ENGR AIDE 1,1," 	56,762 ",4003,ENGR AIDE 1,1," 	56,762 ",4003,ENGR AIDE 1,1," 	56,762 ",4003,ENGR AIDE 1,1," 	57,329 ",4003,ENGR AIDE 1, 	1.00 ," 	57,329 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	58,999 ",4003,ENGR AIDE 1,1," 	58,999 ",4003,ENGR AIDE 1,1," 	58,999 ",4003,ENGR AIDE 1,1," 	58,999 ",4003,ENGR AIDE 1, 	1.00 ," 	60,917 ",4003,ENGR AIDE 1-16, 	1.00 ," 	60,917 ",4003,ENGR AIDE 1-16, 	1.00 ," 	60,917 "
1866,FIELD SERV ANAL, 	1.00 ,WATER," 	60,769 ",VACANT,, 	-   , 	-   ,VACANT,, 	-   , 	-   ,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,5001,FIELD SERV ANAL,1," 	56,359 ",5001,FIELD SERV ANAL,1," 	58,050 ",5001,FIELD SERV ANAL,1," 	58,050 ",5001,FIELD SERV ANAL,1," 	58,050 ",5001,FIELD SERV ANAL,1," 	58,631 ",5001,FIELD SERV ANAL, 	1.00 ," 	58,631 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	60,507 ",5001,FIELD SERV ANAL,1," 	60,507 ",5001,FIELD SERV ANAL,1," 	60,507 ",5001,FIELD SERV ANAL,1," 	60,507 ",5001,FIELD SERV ANAL, 	1.00 ," 	62,474 ",5001,FIELD SERVICE ANALYST-16, 	1.00 ," 	62,474 ",5001,FIELD SERVICE ANALYST-16, 	1.00 ," 	64,782 "
1867,WATER CIVIL TECH 2, 	1.00 ,WATER," 	69,430 ",4941,WATER CIVIL TECH 2, 	1.00 ," 	55,254 ",4941,WATER CIVIL TECH 2,1.00," 	55,254 ",4941,WATER CIVIL TECH 2,1.00," 	55,254 ",4941,WATER CIVIL TECH 2,1," 	55,254 ",4941,WATER CIVIL TECH 3-16,1," 	62,112 ",4941,WATER CIVIL TECH 3-16,1," 	62,112 ",4941,WATER CIVIL TECH 3-16,1," 	62,112 ",4941,WATER CIVIL TECH 3-16,1," 	62,112 ",4941,WATER CIVIL TECH 3-16,1," 	62,112 ",4941,WATER CIVIL TECH 3-16,1," 	62,733 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	62,733 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	65,036 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	65,036 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	65,036 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	65,036 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	66,987 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	66,987 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	66,987 ",4941,WATER CIVIL TECH 3-16,1," 	66,987 ",4941,WATER CIVIL TECH 3-16,1," 	66,987 ",4941,WATER CIVIL TECH 3-16,1," 	66,987 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	69,164 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	69,164 ",4941,WATER CIVIL TECH 3-16, 	1.00 ," 	69,164 "
