Incident,Date,Incident Type,Address,Time
"Fire in West Side Home Displaces 5 People","12/14/2018","Structure","5900 Block Meadowood Drive, Madison, WI","2018-12-14T15:50:00-06:00"
"Engine 5 Called To Check On Garbage Truck After Contents Catch Fire","12/12/2018","Vehicle","US Hwy 12 Eastbound & I-90 Westbound, Madison, WI","2018-12-12T10:38:00-06:00"
"Two Taken To Hospital Following Crash On Interestate Highway","12/11/2018","Vehicle","Westbound I-90, Madison, WI","2018-12-11T09:53:00-06:00"
"Person Getting Off Bus Smells Something Burning and Notices Smoke Coming From Home","12/06/2018","Structure","200 Block N. Owen Drive, Madison, WI 53705","2018-12-06T16:28:00-06:00"
"Fire Breaks Out In UW Campus Laboratory","12/03/2018","Structure","1500 Block Engineering Drive, Madison, WI 53706","2018-12-03T08:44:00-06:00"
"Garage Fire Displaces Two On Offshore Drive","12/01/2018","Structure","6300 Block Offshore Drive, Madison, WI","2018-12-01T02:42:00-06:00"
"Pots Left On Stovetop Send Firefighters To Downtown Restaurant","11/30/2018","Smoke Scare","W. Mifflin Street, Madison, WI 53703","2018-11-30T04:28:00-06:00"
"Carbon Monoxide Linked To Running Vehicle","11/29/2018","Carbon Monoxide","Brompton Circle, Madison, WI","2018-11-29T08:03:00-06:00"
"Car Left Running Kicks Up Carbon Monoxide In West Side Home","11/27/2018","Carbon Monoxide","Wyota Avenue, Madison, WI","2018-11-27T19:56:00-06:00"
"Firefighters P.A.S.S. Along Fire Extinguisher Tips After Fire Breaks Out In North Side Home","11/27/2018","Cooking","Brown Lane, Madison, WI","2018-11-27T14:38:00-06:00"
"Noxious Odor Sends One To Hospital, Hazmat Team Called To Mobile Home Park","11/19/2018","Hazmat","Malibu Drive, Madison, WI","2018-11-19T08:26:00-06:00"
"Smoke Alarm Alerts Residents to Early Morning Fire","11/18/2018","Structure","6300 Block Alison Lane, Madison, WI","2018-11-18T03:10:00-06:00"
"Occupant Extinguishes Cooking Fire With Lid Of A Frying Pan","11/17/2018","Cooking","100 Block E. Johnson Street, Madison, WI","2018-11-17T11:32:00-06:00"
"Fire Displaces Eleven From Northside Apartment Complex","11/14/2018","Structure","2300 Block Brentwood Parkway, Madison, WI","2018-11-14T15:08:00-06:00"
"Towel Resting On Night Light Catches Fire","11/14/2018","Structure","6700 Block Village Park Drive, Madison, WI","2018-11-14T00:20:00-06:00"
"One Person Arrested, Charged With Arson At West Side Transit Site","11/09/2018","Structure","5600 Block Tokay Blvd, Madison, WI","2018-11-09T01:37:00-06:00"
