Incident,Date,Incident Type,Address,Time
"Basement Fire Displaces Five","11/22/2017","Structure","2000 Block Frisch Road, Madison, WI","2017-11-22T11:13:00-06:00"
"Overnight Vehicle Fire Under Investigation","11/20/2017","Vehicle","1600 Block Arkansas Ave, Madison, WI 53704","2017-11-20T01:05:00-06:00"
"Occupant Uses Bag Of Flour To Extinguish Living Room Fire","11/19/2017","Candle","7000 Block Tree Lane, Madison, WI","2017-11-19T18:01:00-06:00"
"Burned Food Prompts Evacuation From Downtown Building","11/17/2017","Cooking","200 Block S. Randall Ave, Madison, WI 53704","2017-11-17T04:20:00-06:00"
"Downtown Smoke Scare Traced To Blown Power Line","11/16/2017","Smoke Scare","600 Block Langdon Street, Madison, WI 53703","2017-11-16T12:26:00-06:00"
"Head-On Collision Injures Two","11/16/2017","Vehicle","100 Block East Gorham Street, Madison, WI 53703","2017-11-16T04:10:00-06:00"
"Sparks Seen At Witte Hall; Construction Activities The Cause","11/15/2017","Structure","600 Block W. Johnson Street, Madison, WI 53706","2017-11-15T17:38:00-06:00"
"Fire Displaces One From West-Side Duplex","11/14/2017","Structure","7800 Block Courtyard Drive, Madison, WI 53719","2017-11-14T16:05:00-06:00"
"Engine 10 Extinguishes Furnace Fire","11/12/2017","Appliance","1900 Block Windom Way, Madison, WI 53714","2017-11-12T17:10:00-06:00"
"Two Taken to Hospital Following Carbon Monoxide Leak at Downtown Hotel","11/11/2017","Carbon Monoxide","500 Block W. Johnson Street, Madison, WI 53703","2017-11-11T20:53:00-06:00"
"Teacher, Custodian Extinguish Small Fire At Hawthorne Elementary","11/10/2017","Structure","3300 Block Concord Ave, Madison, WI 53703","2017-11-10T09:13:00-06:00"
"Sprinkler Contains Fire In Straubel Street Apartment","11/07/2017","Structure","3500 Block Straubel Street, Madison, WI 53705","2017-11-07T08:21:00-06:00"
"Occupant Falls Asleep With Eggs Boiling On Stovetop","11/07/2017","Cooking","1400 Block Trailsway, Madison, WI 53713","2017-11-07T02:44:00-06:00"
"Steam Mistaken For Smoke On Butler Street","11/06/2017","Smoke Scare","100 Block N. Butler St, Madison, WI 53703","2017-11-06T13:58:00-06:00"
"One Dog Dies, Second Survives In House Fire","11/05/2017","Structure","600 Block Wheeler Road, Madison, WI","2017-11-05T10:53:00-06:00"
"Three Displaced by House Fire","11/04/2017","Structure","4900 Block Hammersley Road, Madison, WI","2017-11-04T04:27:00-05:00"
"One Rescued, Transported Following Rollover Crash","11/04/2017","Vehicle","East Washington Avenue & Mendota Street, Madison, WI 53706","2017-11-04T02:42:00-05:00"
"Five Injured In Single-Vehicle Crash","11/03/2017","Vehicle","700 Block Meadowlark Drive, Madison, WI","2017-11-03T17:37:00-05:00"
"Two Crews Put A Stop To Large Vehicle Fire On I-90","11/03/2017","Vehicle","I-39/90 WB, Madison, WI 53703","2017-11-03T06:12:00-05:00"
"Firefighters Extinguish Unapproved Backyard Fire","11/01/2017","Unauthorized Burning","1300 Block N. Sherman Ave, Madison, WI","2017-11-01T00:36:00-05:00"
"Neighbor Smells Something Burning In Nearby Apartment, One Taken to Detox","10/31/2017","Cooking","200 Block Langdon Street, Madison, WI 53703","2017-10-31T23:35:00-05:00"
"Hazardous Incident Team Handles Spill","10/31/2017","Hazmat","1600 Block University Ave, Madison, WI","2017-10-31T19:37:00-05:00"
"Smoking Materials Found Near the Scenes of Two Overnight Fires","10/30/2017","Structure","East Side, Madison, WI 53703","2017-10-30T22:52:00-05:00"
"Man Returns From Store, Finds His Car On Fire","10/30/2017","Vehicle","2200 Block S. Stoughton Road, Madison, WI","2017-10-30T17:56:00-05:00"
"Snipped Live Wire Sparks Small Fire Inside A Wall","10/30/2017","Electrical","2900 Block Turbot Drive, Madison, WI","2017-10-30T13:17:00-05:00"
"Fire Breaks Out In Laboratory Hood System","10/29/2017","Chimney","3300 Block Kinsman Blvd, Madison, WI","2017-10-29T18:37:00-05:00"
"Coals Tossed Out Too Soon Ignite Small Fire On Gammon Lane","10/29/2017","Trash/Rubbish","1100 Block Gammon Lane, Madison, WI","2017-10-29T13:51:00-05:00"
"Vera Court Dumpster Fire Results In Minor Building Damage","10/28/2017","Trash/Rubbish","800 Block Vera Court, Madison, WI","2017-10-28T10:09:00-05:00"
"Curtains Catch Fire in Apartment","10/21/2017","Structure","1000 Block E. Washington Ave, Madison, WI 53703","2017-10-21T14:28:00-05:00"
"Fire at East Johnson Street Home During Rush Hour","10/20/2017","Structure","500 Block East Johnson Street, Madison, WI 53703","2017-10-20T16:06:00-05:00"
"Natural Gas Odor","10/19/2017","Odor Investigation","5700 Block Odana Road, Madison, WI","2017-10-19T08:08:00-05:00"
"Tree Takes Down Power Line on Regent Street","10/18/2017","Power lines down","1900 Block Regent Street, Madison, WI","2017-10-18T20:38:00-05:00"
"Outdoor Fire Traced To Unattended Ashtray","10/18/2017","Trash/Rubbish","5200 Block Trafalger Pl, Madison, WI","2017-10-18T15:54:00-05:00"
"Discarded Cigarettes Found Near Site of Deck Fire","10/17/2017","Outdoor","9400 Block Old Sauk Road, Madison, WI","2017-10-17T17:02:00-05:00"
"Small Porch Fire Discovered, Extinguished Early","10/17/2017","Outdoor","3100 Block Hermina Street, Madison, WI","2017-10-17T01:47:00-05:00"
"Engine 1 Responds To Grease Fire Downtown","10/15/2017","Cooking","400 Block W. Gorham Street, Madison, WI 53703","2017-10-15T17:11:00-05:00"
"Unattended Candle Causes Smoke Scare","10/13/2017","Candle","5100 Block Brookside Drive, Madison, WI","2017-10-13T03:40:00-05:00"
"Firefighters Respond To Accidental Natural Gas Leak","10/12/2017","Gas Leak","700 Block Ruskin Street, Madison, WI","2017-10-12T18:43:00-05:00"
"Gas-Powered Appliances Kick Up Carbon Monoxide On Park Street","10/12/2017","Carbon Monoxide","60 Block N. Park Street, Madison, WI","2017-10-12T09:12:00-05:00"
"Hazmat Team Called To Recycling Center In Waunakee","10/11/2017","Hazmat","300 Block Raemisch Road, Waunakee, WI","2017-10-11T23:53:00-05:00"
"Carbon Monoxide Detector Triggered By Boiling Cauliflower","10/11/2017","Carbon Monoxide","20 Block Sherman Terrace, Madison, WI","2017-10-11T23:33:00-05:00"
"Crash Injures One, Takes Out Tree and Fire Hydrant","10/11/2017","Vehicle","4000 Block Savannah Road & Millpond Road, Madison, WI","2017-10-11T19:44:00-05:00"
"Smoldering Clothes Send Firefighters To East Side Laundromat","10/09/2017","Appliance","3500 Block East Washington, Madison, WI","2017-10-09T21:00:00-05:00"
"Firefighters Respond To Water Heater Malfunction","10/09/2017","Water Leak","500 Block S. Mills Street, Madison, WI","2017-10-09T20:50:00-05:00"
"Occupant Asleep At Kitchen Table As Food Burns On Stovetop","10/08/2017","Cooking","200 Block S. Broom Street, Madison, WI 53703","2017-10-08T16:45:00-05:00"
"Cyclist Injured On State Street","10/08/2017","Assist Citizen","400 Block State Street, Madison, WI","2017-10-08T14:50:00-05:00"
"MFD Assessing Tornado Damage Along East Washington Avenue","10/07/2017","Power lines down","East Washington Ave, Madison, WI","2017-10-07T17:07:00-05:00"
"Two Injured In Three-Vehicle Beltline Crash","10/06/2017","Vehicle","US Highway 12 Eastbound & John Nolen Drive, Madison, WI","2017-10-06T18:42:00-05:00"
"Charcoal Grill On Balcony Poses Fire Hazard","10/05/2017","Cooking","1500 Block Trailsway, Madison, WI","2017-10-05T20:01:00-05:00"
"Chemical Reaction At West Side Lab Prompts Evacuation, Injures One","10/05/2017","Hazmat","600 Block Science Drive, Madison, WI","2017-10-05T13:09:00-05:00"
"Candle Believed To Be Source Of Sauna Fire","10/03/2017","Structure","200 Block Merry Street, Madison, WI","2017-10-03T09:47:00-05:00"
"Discarded Smoking Materials Ignite Deck Fire","10/03/2017","Structure","4600 Block Treichel Street, Madison, WI","2017-10-03T04:02:00-05:00"
"Kitchen Fire Displaces Occupant On Luann Lane","10/01/2017","Structure","2200 Block Luann Lane, Madison, WI","2017-10-01T13:51:00-05:00"
"Discarded Charcoal Reignites, Damaging Backyard Fence","09/30/2017","Outdoor","1700 Block Van Hise, Madison, WI 53706","2017-09-30T19:04:00-05:00"
"Occupants Put Out Kitchen Fire In Northside Apartment","09/30/2017","Excessive heat/scorch","1500 Block Troy Drive, Madison, WI 53706","2017-09-30T12:09:00-05:00"
"Fire Damages Studio Space On Stewart Street","09/29/2017","Structure","800 Block Stewart Street, Madison, WI 53713","2017-09-29T18:48:00-05:00"
"Unattended Cooking Sends Firefighters to West- and North-side Apartments","09/28/2017","Cooking","500 Block N. Franklin Ave, 2400 block Monterey Drive, Madison, WI 53703","2017-09-28T12:10:00-05:00"
"Firefighters Respond To Shed Fire; Person Turns Himself In","09/28/2017","Structure","4600 Block Cottage Grove Road, Madison, WI","2017-09-28T08:12:00-05:00"
"Firefighters Contain Diesel Leak On Interstate Highway","09/27/2017","Vehicle","I-90 EB, Madison, WI","2017-09-27T09:03:00-05:00"
"Fire Damages Kitchen, Bathroom At Mallards Concession Stand","09/24/2017","Cooking","2900 Block N. Sherman Ave, Madison, WI","2017-09-24T13:27:00-05:00"
"Garbage Fire Extends To Home and Attic; Nobody Injured Or Displaced","09/24/2017","Trash/Rubbish","4400 Block Tokay Blvd, Madison, WI","2017-09-24T12:38:00-05:00"
"Motor Home Catches Fire Along Interstate; No Injuries","09/22/2017","Vehicle","I-90 WB & USH 151 SB, Madison, WI","2017-09-22T16:57:00-05:00"
"Cooking Fire Causes Damage In West Side Apartment","09/22/2017","Cooking","4900 Block Whitcomb Drive, Madison, WI","2017-09-22T14:09:00-05:00"
"One Injured, Building Compromised In East Side Explosion","09/20/2017","Structure","50 Block Corry Street, Madison, WI 53704","2017-09-20T23:14:00-05:00"
"Discarded Cigarette Believed To Be the Cause Of Small Curbside Fire","09/20/2017","Outdoor","Northport Drive & N. Sherman Avenue, Madison, WI","2017-09-20T17:10:00-05:00"
"Fire Displaces Family On S Marquette St","09/19/2017","Structure","100 Block S Marquette St, Madison, WI","2017-09-19T17:51:00-05:00"
"Unauthorized Campfire Extinguished Along Lakeshore Path","09/19/2017","Outdoor","Lakeshore Path, Madison, WI 53706","2017-09-19T17:25:00-05:00"
"Vehicle Fire Damages Two Homes On Hoard Street","09/15/2017","Vehicle","2800 Block Hoard Street, Madison, WI","2017-09-15T15:25:00-05:00"
"Lint Buildup In Dryer Vent Causes Small Fire On East Side","09/13/2017","Appliance","Gem Court, Madison, WI 53705","2017-09-13T18:48:00-05:00"
"Search and Overhaul Underway At Scene of House Explosion","09/13/2017","Structure","7800 Block Stratton Way, Madison, WI","2017-09-13T13:59:00-05:00"
"Stratton Way Explosion Declared Intentional","09/13/2017","Explosion","7800 Block Stratton Way, Madison, WI","2017-09-13T13:59:00-05:00"
"Fire Displaces Occupants From East Side Duplex","09/12/2017","Structure","6600 Block Radford Drive, Madison, WI","2017-09-12T10:42:00-05:00"
"Firefighters Free Dog Trapped In Hay Wagon","09/09/2017","Assist Citizen","6100 Block Milwaukee Street, Madison, WI","2017-09-09T18:59:00-05:00"
"Small Vehicle Fire Caught Early","09/08/2017","Vehicle","4300 Block Mohawk Drive, Madison, WI","2017-09-08T13:18:00-05:00"
"Small Fire Damages Dehumidifier, Other Items, In West Side Basement","09/08/2017","Structure","6200 Block Thornebury Drive, Madison, WI","2017-09-08T07:14:00-05:00"
"Vehicle Damaged By Fire On Packers Avenue","09/07/2017","Vehicle","2000 Block Packers Ave, Madison, WI","2017-09-07T15:02:00-05:00"
"Noxious Odor Traced To Corroded Paint Can at West Side Complex","09/06/2017","Odor Investigation","600 Block N. Pleasant View Road, Madison, WI 53713","2017-09-06T11:29:00-05:00"
"Oil Ignites, Causing Minor Kitchen Damage","09/06/2017","Cooking","3700 Block Portage Road, Madison, WI 53704","2017-09-06T10:08:00-05:00"
"Sherman Avenue Church Fire Under Investigation","09/06/2017","Structure","2100 Block N. Sherman Ave, Madison, WI","2017-09-06T10:05:00-05:00"
"Burned Food Prompts Alarm At UW-Madison Dorm","09/06/2017","Cooking","1900 Block Willow Drive, Madison, WI 53706","2017-09-06T08:57:00-05:00"
"Fire Damages Two Vehicles In Ho-Chunk Parking Lot","09/04/2017","Vehicle","4000 Block Evan Acres Road, Madison, WI 53711","2017-09-04T18:22:00-05:00"
"Active Stove Top Brings Firefighters To East Side Restaurant","09/02/2017","Smoke Scare","1200 Block Williamson Street, Madison, WI 53705","2017-09-02T03:05:00-05:00"
"Smoke Investigation Uncovers Dumpster Fire Behind Hill Farms Property","09/01/2017","Trash/Rubbish","4600 Block University Ave, Madison, WI 53705","2017-09-01T17:17:00-05:00"
"Toasted Taco Shell Causes Minor Smoke Damage In Eagle Heights","09/01/2017","Cooking","200 Block Eagle Heights Drive, Madison, WI","2017-09-01T16:50:00-05:00"
"School Evacuated Because Of Gas Odor","08/31/2017","Fuel Spill","200 Block Schenk Street, Madison, WI","2017-08-31T15:33:00-05:00"
"Two Injured In Whitney Way Crash","08/30/2017","Vehicle","N. Whitney Way & Langlois Street, Madison, WI","2017-08-30T11:12:00-05:00"
"Woman Uses Flour To Put Out Small Cooking Fire","08/28/2017","Cooking","10 Block S. Gammon Road, Madison, WI 53711","2017-08-28T11:50:00-05:00"
"Discarded Cigarettes Start Deck Fire On West Side","08/28/2017","Smoking","Millstone Road, Madison, WI","2017-08-28T10:40:00-05:00"
"Fire Damages SUV in Walmart Parking Lot","08/26/2017","Vehicle","4100 Block Nakoosa Trail, Madison, WI 53706","2017-08-26T16:00:00-05:00"
"Firefighters Find Sleeping Occupant, Burned Food Inside Northside Apartment","08/26/2017","Cooking","Monterey Drive, Madison, WI 53704","2017-08-26T01:29:00-05:00"
"Unattended Cooking Brings Firefighters To Downtown Complex","08/26/2017","Cooking","700 Block Braxton Place, Madison, WI 53703","2017-08-26T00:02:00-05:00"
"Vehicle Crashes Into Local Laundromat","08/25/2017","Vehicle","4600 Block Verona Road, Madison, WI 53703","2017-08-25T20:06:00-05:00"
"Vehicle Fire On West Beltline","08/24/2017","Vehicle","U.S. Highway 12 & Whitney Way, Madison, WI","2017-08-24T18:17:00-05:00"
"Kitchen Fire Breaks Out At West-Side Denny's","08/24/2017","Cooking","400 Block S. Gammon Road, Madison, WI","2017-08-24T18:15:00-05:00"
"One Taken To Hospital After Cooking Fire On West Side","08/23/2017","Cooking","1100 Block High Point Road, Madison, WI 53703","2017-08-23T19:41:00-05:00"
"Engine 13 Extinguishes Grass Fires Along Commercial Avenue","08/22/2017","Outdoor","6700 Block Commercial Ave, Madison, WI 53703","2017-08-22T14:46:00-05:00"
"Sunlight Reflecting Off Mirror Starts Small Fire In Northside Home","08/22/2017","Structure","Texas Trail, Madison, WI 53706","2017-08-22T11:44:00-05:00"
"Gas Leak Causes Evacuation on West Side","08/21/2017","Gas Leak","4300 Block Crawford Dr, Madison, WI 53711","2017-08-21T08:33:00-05:00"
"Vehicle Fire Under Investigation","08/20/2017","Vehicle","700 Block S. Gammon Lane, Madison, WI","2017-08-20T04:29:00-05:00"
"Malfunctioning Exhaust Fan Causes Smoke Scare on East Side","08/19/2017","Smoke Scare","2300 Block E. Johnson Street, Madison, WI","2017-08-19T21:19:00-05:00"
"Three Displaced By Overnight Fire","08/19/2017","Structure","6200 Block Hammersley Rd, Madison, WI","2017-08-19T05:17:00-05:00"
"Oven Left On Inside Vacant Apartment Causes Minor Damage","08/17/2017","Structure","500 Block W. Doty St, Madison, WI 53703","2017-08-17T10:21:00-05:00"
"Electrical Problems Send Firefighters To UW Boathouse","08/16/2017","Electrical","600 Block Babcock Drive, Madison, WI 53706","2017-08-16T23:00:00-05:00"
"Fire Damages Dryer In East Side Residence","08/15/2017","Appliance","100 Block N. First Street, Madison, WI 53703","2017-08-15T20:26:00-05:00"
"Broiler Mistaken For Drawer Spells Trouble for Kitchen Towels","08/14/2017","Cooking","100 Block E. Gilman Street, Madison, WI 53703","2017-08-14T21:17:00-05:00"
"Abandoned Fire Pit Puts Apartment Complex At Risk","08/14/2017","Outdoor","1400 Block Trailsway, Madison, WI","2017-08-14T20:54:00-05:00"
"Self-Cleaning Oven Activates Smoke Detector In East Side Apartment","08/13/2017","Excessive heat/scorch","1900 Block East Washington Ave, Madison, WI","2017-08-13T08:48:00-05:00"
"Campfire Inside Canoe Prompts Response From Lake Rescue Team","08/11/2017","Outdoor","Lake Monona, Madison, WI 53703","2017-08-11T21:18:00-05:00"
"Man Transported To Hospital With Hand Trapped In Mechanical Equipment","08/11/2017","Special Rescue","1300 Block East Washington Ave, Madison, WI 53703","2017-08-11T07:22:00-05:00"
"Occupants Displaced From 30 Unit Apartment Building","08/11/2017","Structure","2200 Block Carling Drive, Madison, WI 53711","2017-08-11T01:09:00-05:00"
"Gas Leak Caused By Landscape Work On West Side","08/10/2017","Gas Leak","8300 Block Old Sauk Road, Madison, WI 53562","2017-08-10T08:17:00-05:00"
"Smoke Detector Alerts Sleeping Woman To Fire In Her Bed","08/09/2017","Candle","600 Block N. Frances Street, Madison, WI 53703","2017-08-09T01:10:00-05:00"
"Station 8 Rescues Woman Pinned Under SUV","08/07/2017","Special Rescue","Bultman Road, Madison, WI 53704","2017-08-07T16:13:00-05:00"
"EMTs Cut Plastic Bottle From Toddler's Finger","08/07/2017","Assist Citizen","Northport Drive, Madison, WI 53704","2017-08-07T08:04:00-05:00"
"Intentional Fire On North Side Under Investigation","08/06/2017","Outdoor","1900 Block Elka Lane, Madison, WI 53704","2017-08-06T18:16:00-05:00"
"Unattended Grill Sparks Patio Fire at Southwest-Side Complex","08/06/2017","Structure","6700 Block Pinelake Drive, Madison, WI 53703","2017-08-06T03:19:00-05:00"
"Grease Fire Damages S. Park Street Kitchen","08/05/2017","Cooking","2300 Block S. Park Street, Madison, WI","2017-08-05T19:30:00-05:00"
"Torch Torches Back Of Van; Driver Uninjured","08/04/2017","Vehicle","1400 Block MacArthur Road, Madison, WI 53713","2017-08-04T15:05:00-05:00"
"Gas Leak Prompts Brief Evacuation on Latham Drive","08/04/2017","Gas Leak","3300 Block Latham Drive, Madison, WI 53704","2017-08-04T07:43:00-05:00"
"Fire Uncovers Flaws In Gas Grill On Southeast Side","08/03/2017","Cooking","6200 Block Eagle Cave Drive, Madison, WI 53558","2017-08-03T17:08:00-05:00"
"Two Freed From Stalled Hospital Elevator","08/03/2017","Elevator","200 Block S. Park Street, Madison, WI 53703","2017-08-03T15:32:00-05:00"
"One Injured In Campus Chemical Spill","07/31/2017","Hazmat","1600 Block Observatory Drive, Madison, WI 53706","2017-07-31T13:36:00-05:00"
"Firefighters Extinguish Fire on Construction Site","07/28/2017","Outdoor","McKee Road, High Point Road, Madison, WI 53711","2017-07-28T08:44:00-05:00"
"Early Morning Apartment Fire Displaces One Person","07/28/2017","Structure","1000 Block West Badger Road, Madison, WI 53713","2017-07-28T05:11:00-05:00"
"Car Fire Near Garage Causes $15,000 in Damage","07/27/2017","Vehicle","2900 Block Maple Run Dr, Madison, WI 53719","2017-07-27T12:18:00-05:00"
"Garage Fire Causes $150,000 in Damage","07/25/2017","Structure","900 Block Inwood Way, Madison, WI 53714","2017-07-25T17:13:00-05:00"
"Burning Blanket Causes Evacuation of 4-Unit Apartment","07/25/2017","Structure","1200 Block E. Dayton St, Madison, WI 53703","2017-07-25T02:55:00-05:00"
"1 Injured in Car vs. Dump Truck Crash","07/24/2017","Vehicle","Madison, WI","2017-07-24T09:40:00-05:00"
"Stove Source of CO Alarm Activiation","07/23/2017","Carbon Monoxide","3100 Block Hermina Street, Madison, WI 53714","2017-07-23T20:50:00-05:00"
"Crews Respond To Vehicle Fire Near John Nolen Drive","07/23/2017","Vehicle","John Nolen Drive, Lakeside Street, Madison, WI 53715","2017-07-23T02:22:00-05:00"
"Madison Fire Department HIT Assists Belleville Fire Department","07/22/2017","Hazmat","400 Block River Street, Belleville, WI 53508","2017-07-22T10:52:00-05:00"
"Firefighters Dispatched to a Swift Water Rescue","07/21/2017","Lake Rescue","5700 Block FORSYTHIA Place, Madison, WI","2017-07-21T18:30:00-05:00"
"Car Hits Building on Karstens Drive","07/21/2017","Vehicle","3700 Block E. Kartens Drive, Madison, WI 53704","2017-07-21T07:30:00-05:00"
"Working Detectors Lead Firefighters Toward Grill Inside Garage","07/20/2017","Carbon Monoxide","1800 Block Kendall Ave, Madison, WI","2017-07-20T00:13:00-05:00"
"Power Line Lands On Metro Bus; Occupants Shelter In Place","07/19/2017","Electrical","600 Block East Gorham Street, Madison, WI 53703","2017-07-19T21:44:00-05:00"
"Engine 7 Helps Locked-Out Mom","07/19/2017","Lock out/Lock in","Glacier Ridge neighborhood, Madison, WI","2017-07-19T08:21:00-05:00"
"Downtown Traffic Diverted Due To Gas Leak On Campus","07/17/2017","Gas Leak","800 Block W. Johnson Street, Madison, WI 53706","2017-07-17T14:54:00-05:00"
"U-Haul Truck Gets Wedged In Garage Door, Tears Off Sprinkler Head","07/15/2017","Water Leak","700 Block Glenway Street, Madison, WI 53711","2017-07-15T10:52:00-05:00"
"Smoking Materials Spark Mattress Fire On East Side","07/14/2017","Smoking","Powers Ave, Madison, WI 53714","2017-07-14T11:29:00-05:00"
"UW Health West Clinic Evacuated After Dozens Fall Ill","07/14/2017","Hazmat","400 Block Junction Road, Madison, WI","2017-07-14T10:30:00-05:00"
"Toilet Paper Left Too Close To Candle Results In Small Fire","07/14/2017","Structure","Junction Court, Madison, WI","2017-07-14T08:51:00-05:00"
"Significant Water Leak Renders Two Stratton Way Condos Uninhabitable","07/13/2017","Water Leak","3000 Block Stratton Way, Madison, WI","2017-07-13T14:08:00-05:00"
"Crash At East Washington & Baldwin Injures Six","07/13/2017","Vehicle","E. Washington Ave. & Baldwin St, Madison, WI 53703","2017-07-13T13:57:00-05:00"
"Smoke In Straubel Court Apartment Traced To Unattended Broiler","07/13/2017","Cooking","10 Block Straubel Court, Madison, WI 53706","2017-07-13T12:57:00-05:00"
"Balloons Caught In Power Lines Cause Brief Road Closure Near Beltline","07/12/2017","Electrical","W. Beltline Frontage Road & Grandview Blvd, Madison, WI 53719","2017-07-12T20:58:00-05:00"
"One Transported To Hospital Following Head-On Collision","07/11/2017","Vehicle","S. Gammon Road & U.S. Highway 12, Madison, WI 53719","2017-07-11T20:00:00-05:00"
"Gas Leak Caught Early Near Bay View Landscaping Project","07/11/2017","Gas Leak","600 Block Bay View, Madison, WI","2017-07-11T08:47:00-05:00"
"Firefighters Help Woman and Child Locked Inside Apartment","07/10/2017","Lock out/Lock in","Raymond Road, Madison, WI 53709","2017-07-10T20:11:00-05:00"
"No Injuries In Car vs. Bicycle Collision","07/10/2017","Vehicle","S. Fair Oaks Ave. & Emmet St, Madison, WI","2017-07-10T14:35:00-05:00"
"Firefighters Contain Fuel Leak On Homberg Lane","07/10/2017","Fuel Spill","1600 Block Homberg Lane, Madison, WI","2017-07-10T14:09:00-05:00"
"One Taken To Hospital After Street Sweeper Tips Over On Stoughton Road","07/10/2017","Vehicle","S. Stoughton Road & Buckeye Road, Madison, WI 53716","2017-07-10T03:51:00-05:00"
"Crews Respond To Flash Floods Throughout West Side","07/10/2017","Assist Citizen","West Side, Madison, WI","2017-07-10T01:35:00-05:00"
"Automatic Sprinkler Snuffs Dumpster Fire At East-Side Complex","07/09/2017","Trash/Rubbish","1600 Block Fordem Ave, Madison, WI 53703","2017-07-09T12:27:00-05:00"
"Garbage Truck Strikes Power Lines, Prompts Evacuations","07/08/2017","Vehicle","200 Block Nautilus Drive, Madison, WI 53705","2017-07-08T16:20:00-05:00"
"Ladder 1 Locates Gas Leak On West Main Street","07/08/2017","Gas Leak","500 Block W. Main Street, Madison, WI 53703","2017-07-08T12:03:00-05:00"
"Fallen Tree Crashes Through Roof of East-Side Home","07/06/2017","Structure","800 Block Woodlawn Drive, Madison, WI","2017-07-06T23:48:00-05:00"
"Storms Cause Electrical Hazards, Power Outages On East Side","07/06/2017","Power lines down","East Side, Madison, WI","2017-07-06T23:35:00-05:00"
"Firefighters Find Carbon Monoxide In West-Side Basement","07/06/2017","Carbon Monoxide","1800 Block Lynndale Road, Madison, WI 53719","2017-07-06T23:01:00-05:00"
"Backyard Burn Brings Firefighters To the Neighborhood","07/06/2017","Outdoor","800 Block Valley Road, Madison, WI 53703","2017-07-06T17:18:00-05:00"
"Cardboard and Other Recyclables Catch Fire In Collection Truck","07/06/2017","Vehicle","2700 Block Marshall Court, Shorewood Hills, WI","2017-07-06T09:10:00-05:00"
"Fireworks Set Off In Apartment Complex Trigger Alarm; No Injuries","07/05/2017","Fireworks","1100 Block Morraine View Drive, Madison, WI 53705","2017-07-05T21:32:00-05:00"
"Vehicle Causes Significant Damage After Crashing Into Garage","07/03/2017","Structure","7800 Block Twinflower Drive, Madison, WI","2017-07-03T21:46:00-05:00"
"With the Help Of Braille, Paramedics Assist East-Side Resident Who Fell","07/02/2017","Assist Citizen","East Side, Madison, WI","2017-07-02T00:48:00-05:00"
"Firefighters Put A Stop To Small Bonfire Off John Nolen Drive","07/01/2017","Trash/Rubbish","John Nolen & Broom Street, Madison, WI 53703","2017-07-01T22:00:00-05:00"
"One Seriously Injured In West-Side Crash","07/01/2017","Vehicle","S. Gammon Road & Gammon Place, Madison, WI 53719","2017-07-01T08:01:00-05:00"
"Smoke Scare Traced Back To Faulty AC Unit","06/30/2017","Appliance","900 Block Watson Ave, Madison, WI","2017-06-30T09:55:00-05:00"
"Alarm Prompts Evacuation Of East-Side Complex","06/28/2017","Alarm Investigation","800 Block East Washington Ave, Madison, WI 53703","2017-06-28T18:37:00-05:00"
"Multiple People Injured In East Washington Crash","06/28/2017","Vehicle","E. Washington & N. First Street, Madison, WI 53703","2017-06-28T15:02:00-05:00"
"Burned Food Sends Firefighters To Petra Place","06/27/2017","Cooking","1100 Block Petra Place, Madison, WI 53713","2017-06-27T00:07:00-05:00"
"Kitchen Fire Causes Minor Damage At Porchlight","06/26/2017","Structure","300 Block N. Brooks Street, Madison, WI 53706","2017-06-26T22:36:00-05:00"
"Large Branch Knocks Out Electrical, Cable Service For East-Side Home","06/24/2017","Power lines down","5100 Block Sherven Drive, Madison, WI 53704","2017-06-24T18:31:00-05:00"
"Engine 5 Responds To Vehicle Fire on Beltline","06/23/2017","Vehicle","Eastbound US Highway 12 & Eastbound I-90, Madison, WI","2017-06-23T22:22:00-05:00"
"Wayward SUV Misses Paramedic, Strikes Ladder Truck","06/22/2017","Vehicle","6700 Block Crescent Road, Madison, WI 53703","2017-06-22T22:07:00-05:00"
"Firefighters Respond To Cooking Fire On Marcy Road","06/22/2017","Cooking","3400 Block Marcy Road, Madison, WI 53713","2017-06-22T19:24:00-05:00"
"Cyclist Injured In Traffic Collision","06/21/2017","Vehicle","Odana Road & Whitney Way, Madison, WI 53705","2017-06-21T09:13:00-05:00"
"Unattended Grill Spurs Small Fire On North Side","06/20/2017","Outdoor","1900 Block Thackeray Road, Madison, WI","2017-06-20T23:54:00-05:00"
"Dumpster Fire Ignites Outside Cheesecake Factory","06/19/2017","Trash/Rubbish","10 Block West Towne Mall, Madison, WI 53713","2017-06-19T19:25:00-05:00"
"Three Displaced After Fire At 4900 Block of Whitcomb Drive","06/19/2017","Structure","4900 Block Whitcomb Drive, Madison, WI","2017-06-19T18:38:00-05:00"
"Autoclave Trips Smoke Alarm In Campus Building","06/19/2017","Smoke Scare","400 Block Henry Mall, Madison, WI 53706","2017-06-19T12:48:00-05:00"
"Flames Seen Atop West Side Business Traced To Electrical Box","06/19/2017","Electrical","2700 Block Todd Drive, Madison, WI 53704","2017-06-19T10:11:00-05:00"
"Fire Damages Unoccupied Downtown Condo; Investigation Underway","06/19/2017","Structure","200 Block S. Bedford Street, Madison, WI 53703","2017-06-19T07:50:00-05:00"
"Lake Rescue Team Treats Woman Injured On Lake Monona","06/18/2017","Lake Rescue","Lake Monona, Monona, WI 53716","2017-06-18T15:22:00-05:00"
