DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
219233.53,179,43.104151,-89.300749,8329,15.59,15.59,SB Swanton fs N Thompson ,9652,13.06,13.06,43.85,43.85,0,0,"[-89.30074299297291, 43.10414304758484]"
3351.07,560,43.122525,-89.349798,8330,0.5,0.5,WB Anderson fs Pankratz ,9666,0.0,0.0,0.67,0.67,0,0,"[-89.34979197660229, 43.1225170470996]"
1672.48,898,43.130763,-89.312835,8331,0.0,0.0,WB Melody fs Stuart ,9670,0.0,0.0,0.33,0.33,0,0,"[-89.31282898658732, 43.1307550435032]"
106675.65,1003,43.120032,-89.330072,8332,20.0,20.0,EB Anderson fs Wright ,9675,13.14,13.14,21.34,21.34,0,0,"[-89.33006598288947, 43.12002404652873]"
17299.0,893,43.12528,-89.308754,8333,1.0,1.0,EB East Towne fs Eagan ,9677,0.0,0.0,3.46,3.46,0,0,"[-89.30874798818196, 43.12527204447971]"
0.0,165,43.158163,-89.285747,8334,0.0,0.0,WB Am Fam Dr fs American ,9684,0.0,0.0,0.0,0.0,0,0,"[-89.28574099192858, 43.158155037422034]"
13404.27,558,43.120909,-89.317372,8335,2.0,2.0,EB Lien fs East Wash ,9685,0.51,0.51,2.68,2.68,0,0,"[-89.31736598695896, 43.120901045679396]"
1680.33,883,43.110389,-89.330394,8336,0.0,0.0,NB N Fair Oaks ns Lexington ,9693,0.0,0.0,0.34,0.34,0,0,"[-89.3303879838453, 43.110381047940095]"
4119.66,573,43.131985,-89.297648,8337,0.0,0.0,EB Hi Crossing fs E Springs ,9701,1.54,1.54,0.82,0.82,0,0,"[-89.2976419916242, 43.13197704282045]"
5017.45,595,43.140501,-89.309248,8338,0.0,0.0,NB Portage ns Village ,9715,1.0,1.0,1.0,1.0,0,0,"[-89.30924198641365, 43.140493042054125]"
6473.75,1010,43.152258,-89.298958,8339,1.51,1.51,NB Eastpark fs Biltmore ,9717,1.03,1.03,1.29,1.29,0,0,"[-89.29895198859684, 43.15225003931313]"
11166.56,556,43.121258,-89.307155,8340,1.01,1.01,NB Eagan fs Lien ,9719,2.02,2.02,2.23,2.23,0,0,"[-89.30714898954031, 43.121250044373575]"
