MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
1116.0,Relo to far side,45,,"[-89.36368197567339, 43.09657305179013]",42001.0,43.09657305,-89.36368198,SB FORDEM fs LAKEWOOD
546.0,,46,,"[-89.40109496698649, 43.06735205874142]",31002.0,43.06735206,-89.40109497,SB S PARK fs REGENT 
840.0,,47,,"[-89.40094096825995, 43.06292905972144]",31003.0,43.06292906,-89.40094097,SB S PARK fs VILAS 
288.0,,48,,"[-89.40096796778724, 43.05966705967988]",31004.0,43.05966706,-89.40096797,SB S PARK fs ERIN 
360.0,Relo from near side Midland,49,,"[-89.39637497057782, 43.05364606065821]",31005.0,43.05364606,-89.39637497,SB S PARK fs OLIN
124.0,Relo to near side,50,,"[-89.39423697073532, 43.04951806089457]",31006.0,43.04951806,-89.39423697,SB S PARK ns WINGRA
730.0,New stop,51,,"[-89.39423197139624, 43.045855062023776]",31007.0,43.04585506,-89.39423197,SB S PARK op BRAM
906.0,,52,,"[-89.39420097197902, 43.04156006290756]",31008.0,43.04156006,-89.39420097,SB S PARK fs BUICK 
4100.0,Configuration of STP to be determined,53,,"[-89.39473897258699, 43.039543062749736]",31009.0,43.03954306,-89.39473897,SB SOUTH TRANSFER POINT
782.0,"Relo to far side Catalpa, add bus bulb",54,,"[-89.40309997018363, 43.03865206331716]",31010.0,43.03865206,-89.40309997,WB BADGER ns FISH HATCHERY
4622.0,,55,,"[-89.40951796838819, 43.03111306539519]",31011.0,43.03111307,-89.40951797,SB FISH HATCHERY fs GREENWAY 
4752.0,,56,,"[-89.41307096847545, 43.02627306618252]",31012.0,43.02627307,-89.41307097,SB FISH HATCHERY fs POST 
4699.0,Layover,57,,"[-89.42024196695267, 43.02031906792485]",31013.0,43.02031907,-89.42024197,SB CAHILL ns CADDIS
4707.0,,58,,"[-89.41900996654842, 43.019425067954515]",32013.0,43.01942507,-89.41900997,NB S FISH HATCHERY fs CADDIS 
4523.0,Relo closer to intersection,59,,"[-89.4122009686442, 43.026849066218645]",32012.0,43.02684907,-89.41220097,NB FISH HATCHERY fs POST
4443.0,,60,,"[-89.4084352747614, 43.03199182899235]",32011.0,43.03199183,-89.40843527,NB FISH HATCHERY fs GREENWAY
353.0,Add bus bulb,61,,"[-89.40307197002534, 43.038558063952124]",32010.0,43.03855806,-89.40307197,EB BADGER ns CATALPA 
4100.0,Configuration of STP to be determined,62,,"[-89.39495597238098, 43.038928062816346]",32009.0,43.03892806,-89.39495597,NB SOUTH TRANSFER POINT
475.0,,63,,"[-89.39383597155879, 43.04203806235001]",32008.0,43.04203806,-89.39383597,NB S PARK fs BUICK
703.0,New stop,64,,"[-89.39388997214927, 43.04592106188533]",32007.0,43.04592106,-89.39388997,NB S PARK at BRAM
745.0,,65,,"[-89.39392497187404, 43.04942006157134]",32006.0,43.04942006,-89.39392497,NB S PARK fs WINGRA 
107.0,,66,,"[-89.39662597039221, 43.05440906018586]",32005.0,43.05440906,-89.39662597,NB S PARK fs OLIN 
251.0,,67,,"[-89.40061296845197, 43.060117059982765]",32004.0,43.06011706,-89.40061297,NB S PARK fs ERIN 
217.0,,68,,"[-89.400623967805, 43.06373405897103]",32003.0,43.06373406,-89.40062397,NB S PARK fs WEST WASH 
115.0,,69,,"[-89.40074296770494, 43.06805505870944]",32002.0,43.06805506,-89.40074297,NB N PARK fs REGENT 
,"Construct new stops, platforms, and ped access, may be infeasible.",70,,"[-89.42052872643968, 43.07399000543875]",51001.0,43.07399001,-89.42052873,WB CAMPUS at CHAMBERLAIN
2698.0,,71,,"[-89.43460595713114, 43.07384005967806]",51002.0,43.07384006,-89.43460596,WB UNIV AVE fs U BAY 
2714.0,Relo to far side,72,,"[-89.44473495363582, 43.07535616025294]",51003.0,43.07535616,-89.44473495,WB UNIV AVE fs SHOREWOOD 
2200.0,,73,,"[-89.45157195228185, 43.07548006026582]",51004.0,43.07548006,-89.45157195,WB UNIV AVE fs MIDVALE 
2184.0,,74,,"[-89.45711994988658, 43.073039061279864]",51005.0,43.07303906,-89.45711995,WB SHEBOYGAN fs SEGOE 
2282.0,Consider relo to far side,75,,"[-89.46717808608336, 43.073159536096114]",51006.0,43.07315954,-89.46717809,WB SHEBOYGAN ns EAU CLAIRE 
,"Configuration of WTP to be determined, for Min Pt alignment only",76,,"[-89.47311294681045, 43.060545064248025]",53008.0,43.06054507,-89.47311295,WEST TRANSFER POINT (RELOCATED)
,,77,,"[-89.47877394545944, 43.06096806421825]",53009.0,43.06096807,-89.47877395,WB MINERAL PT fs ROSA 
,,78,,"[-89.49230994067793, 43.06091806447659]",53010.0,43.06091807,-89.49230994,WB MINERAL PT fs YELLOWSTONE 
,"New stop along east-west section of ring road, for Min Pt only",79,,"[-89.50684393710976, 43.059967065683004]",53011.0,43.05996707,-89.50684394,WB WEST TOWNE NORTH
2670.0,Only Odana would stop here,80,,"[-89.47224394704337, 43.06057706362321]",55008.0,43.06057706,-89.47224395,SB WHITNEY fs MINERAL PT 
6100.0,Configuration of WTP to be determined,81,,"[-89.47604394668389, 43.05381706472868]",55009.0,43.05381707,-89.47604395,WB WTP
6188.0,,82,,"[-89.486259943623, 43.05363706610256]",55010.0,43.05363707,-89.48625994,WB ODANA fs RESEARCH PK 
6382.0,,83,,"[-89.4965439403009, 43.056694065471696]",55011.0,43.05669407,-89.49654394,WB ODANA fs GRND CANYON 
,New stop,84,,"[-89.50375993860885, 43.057610065764045]",55012.0,43.05761007,-89.50375994,NB W TOWNE RNG at BANK
