DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
7325645.99,109,43.038895,-89.394824,6294,769.94,769.94,SOUTH TRANSFER POINT,4100,539.88,539.88,1465.13,1465.13,0,0,"[-89.39481797199609, 43.03888706322148]"
7295144.06,133,43.113253,-89.35854,6295,585.12,585.12,NORTH TRANSFER POINT,5100,473.08,473.08,1459.03,1459.03,0,0,"[-89.3585339751513, 43.11324504848609]"
9392708.69,69,43.053883,-89.475098,6296,1179.58,1179.58,WEST TRANSFER POINT,6100,890.84,890.84,1878.54,1878.54,0,0,"[-89.47509194729506, 43.05387506498107]"
5649169.04,199,43.098619,-89.322148,6297,625.3,625.3,EAST TRANSFER POINT,7100,443.85,443.85,1129.83,1129.83,0,0,"[-89.3221419873553, 43.098611049348925]"
2474759.08,148,43.126576,-89.306961,6298,412.24,412.24,EB E TOWNE RNG at SHELTER ,9800,316.94,316.94,494.95,494.95,0,0,"[-89.3069549884892, 43.12656804414563]"
2483209.05,761,43.073317,-89.394044,6299,143.64,143.64,WB W GORHAM ns N BASSETT ,428,96.58,96.58,496.64,496.64,0,0,"[-89.39403796909069, 43.07330905747581]"
194295.14,761,43.072404,-89.393143,6300,25.03,25.03,EB W JOHNSON fs N BASSETT ,555,14.02,14.02,38.86,38.86,0,0,"[-89.39313696896888, 43.07239605762189]"
1589719.16,210,43.070947,-89.406982,6301,39.5,0.0,EB W Dayton fs N Orchard ,5,41.02,0.0,317.94,0.0,0,0,"[-89.40697596508863, 43.07093905812706]"
4681937.73,78,43.075933,-89.400154,6302,231.63,0.0,WB Langdon ns N Park ,10,201.57,0.0,936.39,0.0,0,0,"[-89.40014796677369, 43.07592505721589]"
37800.37,784,43.075691,-89.396944,6303,5.01,0.0,EB Langdon fs N Lake ,25,0.0,0.0,7.56,0.0,0,0,"[-89.39693796733451, 43.07568305676789]"
3144420.02,759,43.071895,-89.397341,6304,67.0,0.0,NB N Lake ns W Johnson ,39,71.53,0.0,628.88,0.0,0,0,"[-89.3973349679091, 43.07188705821724]"
